Study#,Title,Publication Databases,Year,Target Q&A Site,Target Content,Analyzed Componets,Question,Answer,Qn_Tag,Qn_title,Comment
S1,Finding high-quality content in social media,Semantic/Google Scholar,2008,Yahoo! Answers,question; answer,question text; answer text; user relationships; usage statistics;,1,1,,,
S2,Evaluating and Predicting Answer Quality in Community QA,ACM,2010,Yahoo! Answers,answer,question body; answer body; references in answer; user profile; metadata;,,1,,,
S3,Selection of the Best Answer in CQA Services,Semantic/Google Scholar,2010,Yahoo! Answers,answer,question text; answer text; user profile;,,1,,,
S4,Automatic Identification of Best Answers in Online Enquiry Communities,Semantic/Google Scholar,2012,SAP Community Network; Server Fault; Cooking community;,answer,question text; answer text; tags; user profile; metadata;,,1,,,
S5,Predictors of High-Quality Answers,Semantic/Google Scholar,2012,Yahoo! Answers,answer,metadata; question text; answer text; user profile; question code snippet;,,1,,,
S6,Exploiting User Feedback to Learn to Rank Answers in Q&A Forums: A Case Study with Stack Overflow,ACM,2013,Stack Overflow,answer,metadata; question text; answer text; user profile; question code snippet;,,1,,,
S7,Fit or Unfit: Analysis and Prediction of 'closed Questions' on Stack Overflow,ACM,2013,Stack Overflow,question (closed),metadata; question text; question code snippet; user profile; references in question; tags; question title; ,1,,,,
S8,Answering questions about unanswered questions of Stack Overflow,IEEE,2013,Stack Overflow,question ,question text; question title; question code snippet; tags; user profile; comments;,1,,,,
S9,A discriminative model approach for suggesting tags automatically for stack overflow questions,IEEE,2013,Stack Overflow,tags,question text; tags;,,,1,,
S10,Analyzing question quality through intersubjectivity: world views and objective assessments of questions on social question-answering,Semantic/Google Scholar,2013,Yahoo! Answers,question,question text; ,1,,,,
S11,From bad to good: an investigation of question quality and transformation,Semantic/Google Scholar,2013,Yahoo! Answers,question,question text;,1,,,,
S12,Discovering high quality answers in community question answering archives using a hierarchy of classifiers,Google Scholar,2014,Yahoo! Answers,answer,question text; answer text; references in answer; ,,1,,,
S13,"""A Bit of Code"": How the Stack Overflow Community Creates Quality Postings",IEEE,2014,Stack Overflow,question and answer,question text; question code snippet; answer text; answer code snippet;,1,1,,,
S14,Understanding and Classifying the Quality of Technical Forum Questions,IEEE,2014,Stack Overflow,question,question text; user profile; emails in question; tags; question title; references in question; metadata;,1,,,,
S15,Chaff from the wheat : Characterization and modeling of deleted questions on Stack Overflow,Mendeley,2014,Stack Overflow,question (deleted),user profile; metadata; question text; references in question; tags; question code snippet; question title; ,1,,,,
S16,Questioning the Question -- Addressing the Answerability of Questions in Community Question-Answering,Semantic/Google Scholar,2014,Yahoo! Answers,question,question text; references in question; question title; ,1,,,,
S17,An Insight into the Unresolved Questions at Stack Overflow,ACM,2015,Stack Overflow,question,question text; question code snippet; answer text; user profile; metadata;,1,,,,
S18,Evaluating Answer Quality across Knowledge Domains: Using Textual and Non-Textual Features in Social Q&A,ACM,2015,Mathematics; Ask Ubuntu; Photography; Arqade;,Answer,answer text; user profile; review history; images in answer; references in answer;,,1,,,
S19,Mining Successful Answers in Stack Overflow,ACM,2015,Stack Overflow,Answer,answer text; references in answer; comments; user profile; metadata; ,,1,,,
S20,Automatic assessments of code explanations: Predicting answering times on stack overflow,IEEE,2015,Stack Overflow,Question (Code Explanation),question text; question code snippet;,1,,,,
S21,Quality Questions Need Quality Code: Classifying Code Fragments on Stack Overflow,ACM,2015,Stack Overflow,Question,question text; question code snippet;,1,,,,
S22,"Utilizing Content Moderators to Investigate Critical Factors for Assessing the Quality of Answers on Brainly, Social Learning Q&A Platform for Students: A Pilot Study",ACM,2015,Brainly,answer,answer text; question text;,,1,,,
S23,Predicting the quality of questions on Stackoverflow,DBLP,2015,Stack Overflow,Question,tags; user profile; question title; question text; question code snippet;,1,,,,
S24,Answers or no answers: Studying question answerability in Stack Overflow,Google Scholar,2015,Stack Overflow,Question,metadata; question text; user profile; question title; tags; question code snippet;,1,,,,
S25,TagCombine: Recommending Tags to Contents in Software Information Sites,ProQuest,2015,Stack Overflow; Ask Ubuntu; Ask Different; Freecode;,Tag,question text; tags;,,,1,,
S26,Detecting high-quality posts in community question answering sites,ScienceDirect,2015,Stack Overflow; Mathematics;,question; answer,question body; answer body; question title; user profile; metadata;,1,1,,,
S27,Building a parsimonious model for identifying best answers using interaction history in community Q&A,Semantic/Google Scholar,2015,Yahoo! Answers,answer,metadata; answer text; ,,1,,,
S28,Multi-Factor Duplicate Question Detection in Stack Overflow,Springer,2015,Stack Overflow,question (duplicate),question text; question title; tags;,1,,,,
S29,Synonym Suggestion for Tags on Stack Overflow,CrossRef,2015,Stack Overflow,tags;,tags; ,,,1,,
S30,CSNIPPEX: Automated Synthesis of Compilable Code Snippets from Q&A Sites,ACM,2016,Stack Overflow,code snippet (usability),answer code snippet; Compilation errors;,,1,,,
S31,Evaluating the Quality of Educational Answers in Community Question-Answering,ACM,2016,Brainly,answer,User profile; question text; answer text;,,1,,,
S32,Improving the Quality of Code Snippets in Stack Overflow,ACM,2016,Stack Overflow ,answer code snippet,answer code snippet;,,1,,,
S33,Mining Duplicate Questions in Stack Overflow,ACM,2016,Stack Overflow,question (duplicate),question title; question text; question code snippet; tags;,1,,,,
S34,Predicting Questions' Scores on Stack Overflow,ACM,2016,Stack Overflow,question (score),question text; question title; question code snippet; metadata; references in question; tags;,1,,,,
S35,"Social Question Answering: Textual, User, and Network Features for Best Answer Prediction",ACM,2016,Yahoo! Answers,Answer,question text; answer text; user profile; metadata;,,1,,,
S36,Understanding Question Quality through Affective Aspect in Q&A Site,ACM,2016,Stack Overflow,question,question text; question code snippet; user profile; tags; metadata;,1,,,,
S37,Embedded Emotion-based Classification of Stack Overflow Questions Towards the Question Quality Prediction,CrossRef,2016,Stack Overflow,question,question text;,1,,,,
S38,It Takes Two to Tango: Deleted Stack Overflow Question Prediction with Text and Meta Features,IEEE,2016,Stack Overflow,question (deleted),question text; question title; tags; metadata; user profile; references in question; question code snippet;,1,,,,
S39,By the Community & For the Community: A Deep Learning Approach to Assist Collaborative Editing in Q&A Sites,ACM,2017,Stack Overflow,question; answer,question text; answer text; references in question; references in answer; images in question; images in answer;,1,1,,,
S40,Detecting Duplicate Posts in Programming QA Communities via Latent Semantics and Association Rules,ACM,2017,Stack Overflow,question (duplicate),question text; question title; tags;,1,,,,
S41,Discerning the Quality of Questions in Educational Q&A using Textual Features,ACM,2017,Brainly,question,question text;,1,,,,
S42,TAGme: A Topical Folksonomy Based Collaborative Filtering for Tag Recommendation in Community Sites,ACM,2017,Stack Overflow,Tag,user profile; tags; Question text;,,,1,,
S43,Identifying Textual Features of High-Quality Questions: An Empirical Study on Stack Overflow,CrossRef,2017,Stack Overflow,question,question text; references in question; question code snippet;,1,,,,
S44,Scalable tag recommendation for software information sites,IEEE,2017,Stack Overflow;  Ask Ubuntu; Ask Different;  Freecode;,Tag,question text; tags; ,,,1,,
S45,Towards Question Improvement on Knowledge Sharing Platforms: A Stack Overflow Case Study,IEEE,2017,Stack Overflow,question,question text; question code snippet; question title; tags; references in question; ,1,,,,
S46,"Question's advisor a wizard interface to teach novice programmers how to post ""better"" questions in stack overflow",Mendeley,2017,Stack Overflow,question,question title; question text; question code snippet;,1,,,,
S47,On early detection of high voted Q&A on Stack Overflow,ScienceDirect,2017,Stack Overflow,question; answer,question text; question title; user profile; question code snippet; answer text; answer code snippet; metadata;,1,1,,,
S48,The best answer prediction by exploiting heterogeneous data on software development Q&A forum,ScienceDirect,2017,Stack Overflow,answer,question text; question title; question code snippet; answer code snippet; user profile; tags; answer text; answer code snippet; ,,1,,,
S49,Language Use Matters: Analysis of the Linguistic Structure of Question Texts Can Characterize Answerability in Quora,Semantic/Google Scholar,2017,Quora,question,question text;,1,,,,
