Metric Name,Frequency
# alphabetical characters in body field,1
# characters in body field,1
# characters in title field,1
# conjunctions,1
# digit characters in body field,1
# function words,1
# lower case characters in body field,1
# of answerer’s previous answers at answer creation time,1
# of answers received in one hour after question creation,1
# of comments received in one hour after question creation,2
# of questioner’s previous questions at question creation time,1
# prepositions,1
# previous answers,1
# previous answers with 0 scores,1
# previous answers with negative scores,1
# previous answers with positive scores,1
# previous badges,1
# previous questions,1
# previous questions with 0 scores,1
# previous questions with negative scores,1
# previous questions with positive scores,1
# punctuation marks in body field,1
# short words in body field,1
# special characters in body field,1
# tags,1
# unique words in body field,1
# upper case characters in body field,1
# urls,1
# white case characters in body field,1
# words in body field,1
# words in title field,1
#(answer chars),1
#(answer union words),1
#(answer words),1
#(a-topics),1
#(a-topics) #(q-topics) / #(a-topics),1
#(a-topics) * #(q-topics),1
#(a-topics) / #(answer body),1
#(c-topics) / (#(a-topics) + #(q-topics) - #(c-topics)),1
#(question body) / (#(answer body) ? #(word list)),1
#(question body) / tf-body,1
#(title) / (#(answer body) ? #(word list)),1
#(title) / tf-title,1
#ans posted before this answer,2
#ans posted to the question,2
#sug approved by the answer author,1
#sug approved by the asker,1
#sug rejected by the answer author,1
#sug rejected by the asker,1
#sug to the answer,1
#sug to the question,1
(# previous answers)/(age of account),1
(# previous questions)/(age of account),1
“error”/“not working” in title,1
1st person plural,1
1st person singular,1
2nd person,1
3rd person plural,1
3rd person singular,1
a body length,1
a code length,1
a code percentage,1
a duplicate question,1
a revision number,1
a url number,1
a_best_answers,1
a_level,1
a_questions_asked,1
a_questions_resolved,1
a_stars),1
a_total_answers,1
abodycharsofcode,1
abodynwords,1
abodyurlcount,1
accepted answer count,1
accepted answer ratio,1
accepted answer score,1
accepted by originator votes,1
access control (ac),1
account age,1
accuracy,5
accuracy (linguistic errors (reverse-coded)),1
addedcodelines,1
addedtextlines,1
adequacy,1
adjective,2
adjectives,2
adverbs,1
afternoon,1
age,1
age of account,3
agreement,1
ak mean/median/sum - qn upvote,1
ak mean/sum/median an upvote,1
ak number answer,1
ak number question,1
ambiguity,2
amec,1
amount of unique information,1
an number answer,1
an number question,1
an total/median/max - a upvote,1
an total/median/max - q upvote,1
and character count),1
and verbs in the answer which did not appear on the question,1
anger,1
answer (words),1
answer age,2
answer age/day,1
answer badge count,1
answer badges count,1
answer code to text ratio,1
answer count,2
answer flesch reading ease,1
answer images,1
answer length,2
answer listing,1
answer no longer relevant or needed,1
answer question ratio,1
answer quotes,1
answer ratio,1
answer rejection ratio,1
answer score,1
answer-answer similarity,1
answer-echo-question,1
answerer authority,1
answerer’s points,1
answerer’s reputation at answer creation time,1
answerer’s user history (answers answered,1
answerer's attitude,1
answerer's effort,1
answerer's experience,1
answerer's expertise,1
answer-include-code,1
answering their own question,1
answering time prediction model features,1
answers entropy,1
answers provided,1
answers ratio,1
answers to age of account ratio,1
answitches,1
anxiety,1
aownerreputation,1
apidifftime,1
approve edit vote count,1
approved edit suggestion,1
ari,1
arithmetic issues (ai),1
articles,1
asker authority,1
asker score,1
asker’s points,1
asker’s user history (questions asked,1
asking time (day of the week),1
asking time (hour),1
association feature,1
association score (ass),1
asymmetric - key,1
automated readability index,2
automated readability index of the question,1
automated reading index,2
average answer score,1
average body word length,1
