Study#,SL,Title,Year,Authors,Country,Domestic-Same,Domestic-Different,International,Industry-Academia,Gender,Female-Led,Journal/Conference,Journal/Conference Detail,Journal/Conference Name
S1,1,Finding high-quality content in social media,2008,Eugene Agichtein; Carlos  Castillo; Debora  Donato; Aristides  Gionis; Gilad  Mishne,USA; Spain,,,1,1,Male; Male; Female; Male; Male,,Conference,International Conference on Web Search and Data Mining,WSDM
S2,2,Evaluating and Predicting Answer Quality in Community QA,2010,Chirag Shah; Jefferey  Pomerantz,USA,,1,,,Male; Male,,Conference,International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR
S3,3,Selection of the Best Answer in CQA Services,2010,Mohan John Blooma; Alton YK Chua; Dion Hoe-Lian  Goh,Singapore,1,,,,Male; Male; Male,,Conference,International Conference on Information Technology: New Generations,ITNG
S4,4,Automatic Identification of Best Answers in Online Enquiry Communities,2012,Gregoire Burel; Yulan He; Harith Alani,UK,1,,,,Male; Female; Male,,Conference,Extended Semantic Web Conference,ESWC
S5,5,Predictors of High-Quality Answers,2012,Mohan John Blooma; Dion  Hoe-Lian Goh; Alton YK Chua,Singapore,1,,,,Male; Male; Male,,Journal,Online Information Review,OIR
S6,6,Exploiting User Feedback to Learn to Rank Answers in Q&A Forums: A Case Study with Stack Overflow,2013,Daniel H Dalip;  Marco Cristo; Pavel Calado,Brazil; Portugal,,,1,,Male; Male; Male,,Conference,International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR
S7,7,Fit or Unfit: Analysis and Prediction of 'closed Questions' on Stack Overflow,2013,Denzil Correa; Ashish  Sureka,India,1,,,,Male; Male,,Conference,Conference on Online Social Networks,COSN
S8,8,Answering questions about unanswered questions of Stack Overflow,2013,Muhammad Asaduzzaman; Ahmed Shah  Mashiyat; Chanchal K. Roy; Kevin Schneider,Canada,,1,,,Male; Male; Male; Male,,Conference,Working Conference on Mining Software Repositories,MSR
S9,9,A discriminative model approach for suggesting tags automatically for stack overflow questions,2013,Avigit K Saha; Ripon K  Saha; Kevin A  Schneider,Canada; USA,,,1,,Male; Male; Male,,Conference,International Working Conference on Mining Software Repositories,MSR
S10,10,Analyzing question quality through intersubjectivity: world views and objective assessments of questions on social question-answering,2013,Vanessa Kitzie; Erik  Choi; Chirag  Shah,USA,1,,,,Female; Male; Male,1,Journal,American Society for Information Science and Technology,ASIST
S11,11,From bad to good: an investigation of question quality and transformation,2013,Vanessa Kitzie; Erik  Choi; Chirag  Shah,USA,1,,,,Female; Male; Male,1,Journal,American Society for Information Science and Technology,ASIST
S12,12,Discovering high quality answers in community question answering archives using a hierarchy of classifiers,2014,Hapnes Toba; Zhao-Yan  Ming; Mirna  Adriani; Tat-Seng  Chua,Singapore; Indonesia,,,1,,Male; Male; Female; Male,,Journal,Information Sciences,ISCI
S13,13,"""A Bit of Code"": How the Stack Overflow Community Creates Quality Postings",2014,Megan Squire; Christian  Funkhouser,USA,1,,,,Female; Male,1,Conference,Hawaii International Conference on System Sciences,HICSS
