Metrics,Count,Percentage,Associated Studies,Details
"Clarity, Relevance, and Supporting Resources",72,56.7,"S2, S3, S5, S6, S7, S8, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S27, S28, S30, S31, S33, S34, S35, S38, S39, S40, S43, S45, S46, S47, S48, S53, S54, S55, S56, S58, S60, S61, S64, S68, S69, S70, S72, S73, S75, S77, S78, S80, S82, S85, S86, S87, S90, S94, S99, S100, S101, S102, S103, S105, S107, S110, S115, S118, S123, S126, S127","# urls, a code percentage, abodyurlcount, ambiguity, and verbs in the answer which did not appear on the question, answer code to text ratio, answer images, answer question ratio, answer-answer similarity, answer-echo-question, answer-include-code, association feature, association score (ass), average relation scores of title words and answers, average terms entropy, avoiding a large amount of code, avoiding description with only code, bm25 ranking function, brevity, chebyshev distance by pca, clarity, code snippet, code snippet length, code snippets, code-contain-keyword question-have-code, code-text ratio, code-text-ratio, coherence between question description and title, coherence between title and description, coherent, combining links content, compilability, complexity (reverse-coded), containment (containment-n-g), cosine distance (cosine-n-g), cosine similarity, cosine similarity between subject and content, cosine similarity by pca, cosine similarity value, counts of external links, counts of external links (s_elc), counts of images, counts of internal links (to other questions/answers in the site), counts of internal links (to other questions/answers in the site) (s_ilc), denser betweenness centrality, denser closeness centrality, denser resource allocation index, description code to text ratio, description similarity, detail, dirichlet prior smoothing, divergence from randomness similarity, doc2vec vector similarity (vs), does the answer contain source code? (yes/no), does the question contain source code? (yes/no), edit distance between subject and content, emails count, entity overlap, entity type overlap, entropy, entropy of subject and content, euclidean distance by pca, example/code, focus type, hascode, haslinkimage, image, including links in the question, inclusion of external library, inclusion of native library, inclusion of references with the answer, information, jelinek-mercer smoothing, kl-divergence, l-rouge, lack of information, largest distance between two words that appear in answer and question, largest distance between two words that appear in answer and questions, links, maximum relation scores of title words and answers, metric entropy, n. of links to external sources, n. of links to other query/answer in the forum, not a real question, not clear, nouns, number of images in the text, number of links in a question, number of links in the text, number of links to external sources, number of links to other questions/answers in the same forum, number of links/url, number of new adjectives, number of questions, number of sentences shared by question and answer, number of stack overflow urls, number of urls, number of words shared by question and answer, number of words which appear in answer and question in the same order, number of words which appear in question and answer in the same order, off-topic, open, or hard to follow, parse calls (avg), presence of a code snippet, presence of code, presence of code snippet, presence of code snippets, presence of multiple tags, presence of urls, qa betweenness centrality, qa closeness centrality, qa resource allocation index reqa, qbodyurlcount, question and answer length ratio, question and answer similarity, question similarity, question-answer similarity, ratio of body length to paragraphs (calculated as the body length divided by the number of paragraph tags plus one), referencing, relatedness, relation score of question and answers, relevance, resemblance (resemblance-n-g), restricting each question to a single problem, semantic relevance, semantic similarity using lsa on wikipedia corpus, semantic similarity using the random indexing on wikipedia corpus, short description, showing an example, similarity, similarity between answer and question (sim), subject / content has url, tag similarity, term overlap, text similarity (answer-comment), text speak count, text-code ratio, the jaccard textual overlap score of the question and answer, the similarity between answer and question, the similarity between the question and code in answers, thread co-occurrence, title body similarity, title similarity, token similarity, too complex, too constructive, too localized, topic entropy, topic similarity, topical similarity (tp), unclear, unclear what you’re asking, understandable description, url, url count, urls count, user-question topic similarity, vague, vector concordance similarity, well-chosen title, word overlap (overlap-n-g), wordnet similarity"
Readability and Linguistic Complexity,63,49.6,"S1, S2, S3, S4, S5, S6, S7, S8, S10, S11, S12, S13, S14, S15, S16, S17, S18, S21, S22, S23, S24, S26, S27, S31, S34, S35, S36, S38, S39, S41, S43, S45, S47, S48, S49, S50, S54, S55, S58, S60, S61, S64, S70, S72, S73, S80, S82, S83, S85, S86, S87, S92, S101, S103, S104, S107, S110, S111, S116, S118, S119, S123, S126","# alphabetical characters in body field, # characters in body field, # characters in title field, # conjunctions, # digit characters in body field, # function words, # lower case characters in body field, # prepositions, # punctuation marks in body field, # short words in body field, # special characters in body field, # unique words in body field, # upper case characters in body field, # white case characters in body field, # words in body field, # words in title field, #(answer chars), #(answer union words), #(answer words), 1st person plural, 1st person singular, 2nd person, 3rd person plural, 3rd person singular, a body length, a code length, adjective, adjectives, adverbs, and character count), answer (words), answer flesch reading ease, answer length, ari, articles, automated readability index, automated readability index of the question, automated reading index, average body word length, average length of words in body field, average paragraph length, average sentence length, average term entropy, average title word length, average unique words per sentence, average word length, average words length in characters, average words length in syllables, average words per sentence, averagewords, bigram, blank lines (avg), bm25 with lemmas, body avg sentence in words, body avg word in characters, body length, body sentence count, body text length, body word count, brackets per line (avg), code complexity, code readability, code snippets length in characters, cognitive processes, coleman liau, coleman liau index, coleman-liau index, comment length, commentlength, comparisons (avg), complexwords, conjunctions, content length, content present, content starts with an interrogative word, counts of auxiliary verbs, counts of auxiliary verbs (t_avc), counts of conjunctions, counts of conjunctions (t_cc), counts of interrogative pronouns, counts of interrogative pronouns (t_ipc), counts of nominalization, counts of nominalizations (t_nc), counts of passive voice sentences, counts of passive voice sentences (t_pvc), counts of prepositions, counts of prepositions (t_prc), counts of pronouns, counts of pronouns (t_pc), counts of sentences, counts of sentences (l-sc), counts of subordinating conjunctions, counts of subordinating conjunctions (t_scc), counts of words, counts of words (l-wc), counts of “to-be” verbs, counts of “to-be” verbs (t_bvc), dale challe reading score, dale-chall readability score, dale–chall readability score, density of lemmas, description (words), description flesch reading ease, description length in words, difficult words, drives attributes, entropy, entropy of the text word sizes, entropy of word lengths, flesch, flesch kincaid, flesch kincaid grade level, flesch reading ease, flesch reading ease score, flesch reading ease score of the answer (fres), flesch reading score, flesch-kincaid grade level, flesch-kincaid), flesch-kinkaid grade level, focus adjective, fog scale determines, forcast, function words, grammar, gunning fox index, gunning-fog index, gunningfog, hastypogrammarspelling, hypergeometric distribution d (hdd)), impersonal pronoun, indentation (avg), indentation (max), informal attributes), information to noise, interrogative words, jaccard index of lemmas, keywords (avg), keywords (max), language modeling with lemmas, length, length features (word, length of a title, length of answer, length of code snippet, length of the answer (length), length of the answer’s content, length of the body of a question, length of the code, length of the post, length of the question body, length of the question title, length of the question’s content, length of the question’s subject, letters, lex diversity, lexical diversity (maas, line of code (loc), lines (avg), lines of code, linguistic characteristics (linguistic styles, linguistic errors (reverse-coded), liwc score of cognitive process words, liwc score of conjunctions, liwc score of function words, liwc score of inclusive words, liwc score of personal pronouns, liwc score of prepositions, liwc score of pronouns, liwc score of relativity words, liwc score of space words, lix score, loc, loc percentage, long words, longer letter words, machine translation of lemmas, main verb, maintainability/readability, measure of textual lexical diversity (mtld), metric entropy, misspelledwords, monolingual word translation, n-grams, n. of auxiliary verbs, n. of capitalization errors, n. of nominalizations, n. of passive voice sentences, n. of prepositions, n. of pronouns, n. of questions, n. of typos, n. of uses of verb ""to be"", n. of words not in wordnet, n. of words that are conjunctions, naming, naturalness, negation, noun, nouns, nouns & verbs, number of adjectives present in the answer but not in the question, number of characters / number of words / number of sentences, number of characters in the text, number of characters in title, number of complex words, number of complex words divided by all words, number of identifiers, number of interrogative words, number of long sentences, number of misspelled words, number of non-stop words (a-nonstopw) in answer, number of nouns in answer (a-nouns), number of nouns in question (q-nouns), number of nouns present in the answer but not in the question, number of one-letter words, number of punctuation marks, number of punctuation marks in body, number of question marks, number of sentences, number of sentences / number of words, number of sentences in answer (a-sentences), number of sentences in the text, number of short sentences, number of short words, number of short words in body, number of special characters, number of stop words (a-stopw), number of two-letter words, number of unique words, number of unique words in body, number of unique words in the answer, number of verbs in answer (a-verbs), number of verbs in question (q-verbs), number of verbs present in the answer but not in the question, number of words, number of words in body, number of words in the text, number of words in title, numbers (avg), numcharacters, numquestions, numsentences, numwords, one letter words, out-of-vocabulary words, overlap of concatenations of lemmas and pos tags, overlap of lemma bigrams, overlap of lemma trigrams, overlap of lemmas, overlap of named entities, overlap of stems, overlap of super-senses, overlap of terms, part-of-speech (pos) tags, percent of phrases where (avg. length - length) >= 5 words, percent of phrases where (length - avg. length) >= 10 words, perceptual attributes, personal pronouns, post length, presence of certain interrogative phrases, printlines (max), pronouns, punctuation, punctuation count, punctuation density, qbodycharsofcode, qbodynwords, qtitlelength, question (words), question body length, question code length, question length, question length / number of sentences / number of words, question title length, question word, question word determiner, question word length, question words, raw length in answer (a-raw-length) in words, raw length in question (q-raw-length) in words, readability, readability (flesch-kincaid reading ease), readability (fog, readability metrics - main method length, readability of content, readability of subject / content, readability of the answer (ari), readability with flesch-kincaid grade, readability with gunning fog index, reading level, readingscore, sentence count, sentences, sentences count, set length, size of the largest phrase, smog, smog grade, smog index, spaces (avg), spelling, spelling mistakes, stop words, string concats (avg), string concats (max), subject starts with an interrogative word, syllables per word, tags (words), term body, term mixed, term title, terms used to formulate the question, text readability, text score, tf-idf with lemmas, the automated readability scores, the flesch reading ease score of answer, the length of answer, the length of the question answer, the length of the question body, the length of the question title, the number of lines present in the code, the number of misspellings, the readability of answer, the total number of characters, the total number of question marks in an entire query, the total number of words, title avg word in characters, title length, title length in words, title word count, total number of words, total words, trigram, two letter words, typo, unigram, unique words, verbs, word count, words, words count, wrong words"
Content Accuracy and Informativeness,59,46.5,"S1, S2, S3, S5, S6, S8, S10, S11, S12, S16, S18, S21, S22, S24, S31, S32, S34, S35, S37, S39, S41, S45, S46, S48, S50, S51, S52, S55, S63, S65, S71, S72, S74, S77, S79, S83, S84, S87, S88, S89, S91, S93, S95, S97, S98, S99, S101, S104, S106, S108, S111, S117, S118, S119, S120, S122, S123, S125, S126","#(question body) / (#(answer body) ? #(word list)), #(question body) / tf-body, #(title) / (#(answer body) ? #(word list)), #(title) / tf-title, a duplicate question, access control (ac), accuracy, accuracy (linguistic errors (reverse-coded)), adequacy, ambiguity, amount of unique information, arithmetic issues (ai), asymmetric - key, avoiding creating duplicate questions, bad randomness (br), bm25, buggy code, changes, clarification, clarity, code errors, code optimization, code usability, coding inconsistency, common weakness enumeration (cwe), compatibility, compilability, completeness, complex, comprehensibility, comprehensiveness, comprehensiveness (comprehensive, conceptual errors, conceptual inconsistency, conciseness, conciseness (redundant, consistency (factual inconsistency, correctness, correctness (factual errors, correlation, course project or homework question, credentials, denial of service (dos), deprecation note, details, different number of solutions), digital signature, diversity, do not create homework questions, domain, dp_create_classloader_inside_do_privileged, duplicate, duplicate/clone, duplication, duplication note, ei_expose_rep, entropy of subject and content, entropy of the vector constructed by counting the number of answers in each category, entropy of the vector constructed by counting the number of questions in each category, errors, exception handling, excess information), excessive information, expertise, explanation, f.added, f.qqualitylabelgood, factuality, fair, fixes, front running (fr), getters, hasclarifyexplain, hasfixingimproving, hash - pbkdf, helpfulness, hyperlink modification, idf-body, idf-title, image revision, inactive hyperlink, inappropriate, incomplete, inconsistency, inconsistent, incorrect guard condition, incorrect solutions, informativeness, initialization vector (iv), interestingness, invalid keywords (avg), irrelevant, key, kld(good answers of same category), kld(good answers), kld(wikipedia discussion pages), kld(wikipedia pages classified as ""good""), lack of information, license violation, licensing conflicts, loops, methods, mismatched solutions, missing exception handling, missing finally, missing if checks, missing or incorrect order of api calls, ms_expose_rep, ms_final_pkgprotect, ms_pkgprotect, ms_should_be_final, not a question for so, not comprehensive), novelty, objectivity, obsolete, off-topic, open, opinion based, opinion-based, originality, outdated solutions, parsability, password-based encryption (pbe), performance, poor syntax, presence of a class, presence of a method, presence of main method, presentation, primarily opinion-based, program-specific without a program snippet or proper explanation, proprietary technology, qneed, quality, random - type, rationale, rationality, reasonableness, reference modification, relevance, reliability, reproducibility, security, security vulnerabilities, seeding, serendipity, setters, short address attack (saa)), show that knows the topic, smart contract vulnerabilities (reentrancy (re), specificity, ssl/tls - hostnameverifier trust manager, subjectivity, symmetric - cipher/mode, terminological errors), terminological inconsistency, tf-body, tf-body / #(answer body), tf-body ? #(question body), tf-body ? idf-body / #(answer body), tf-idf of key/indicator terms, tf-title, tf-title / #(answer body), tf-title ? #(title), tf-title ? idf-title / #(answer body), time manipulation, title subjectivity, too broad, too hard, too short, too specific or too time-consuming, too-broad, trustworthiness, truthfulness, unchecked return values (urv), unclear, understandability, usability, usefulness, utility, version cipher suite onreceivedsslerror, writing style"
Community Engagement and Activity,34,26.8,"S1, S4, S6, S7, S8, S14, S15, S17, S18, S22, S24, S26, S27, S31, S35, S36, S38, S47, S55, S56, S58, S61, S64, S70, S72, S73, S86, S92, S94, S101, S103, S107, S116, S117","# of answerer’s previous answers at answer creation time, # of answers received in one hour after question creation, # of comments received in one hour after question creation, # of questioner’s previous questions at question creation time, # previous answers, # previous badges, # previous questions, #sug approved by the answer author, #sug approved by the asker, #sug rejected by the answer author, #sug rejected by the asker, #sug to the answer, #sug to the question, (# previous answers)/(age of account), (# previous questions)/(age of account), accepted answer ratio, accepted by originator votes, account age, addedcodelines, addedtextlines, age, age of account, agreement, ak number answer, ak number question, amec, answer age/day, answer count, answer ratio, answer rejection ratio, answer score, answerer's effort, answerer's experience, answering their own question, answers provided, aownerreputation, approve edit vote count, average cc of friends, average cc of friends (cc_adj), average degree of neighborhood, average degree of neighborhood (deg_adj), average favorite votes, average n. of edits per user, average number of accepted answers, average number of answers per posted question, average number of comments per posted answer, average number of comments per posted question, average number of comments received, average rank position for posted answers, average score for previous answers, average score for previous questions, average view counts for previous questions, avg n. of comments per answer, avg n. of comments per question, bounty close vote count, bounty end votes, bounty start vote count, bounty start votes, close vote count, close votes, clustering coefficient in friendship network, clustering coefficient in friendship network (cc), comment count, competitors, complete change of post, connectivity network, counts of answer age/day (r_aage), counts of answers posted by a user, counts of answers posted by a user (u_ac), counts of comments an answer received, counts of comments an answer received (r_cc), counts of comments posted by a user, counts of comments posted by a user (u_cc), counts of merit badges, counts of merit badges (u_mbc), counts of questions posted by a user, counts of questions posted by a user (u_qc), counts of revision (r_rc), counts of revisions, counts of suggested edits made by a user, counts of suggested edits made by a user (u_ec), counts of user points, deface post, deletedcodelines, deletedtextlines, deletion vote count, deletion votes, derived role (number of answers per question), f.bounty, favorite vote count, favorite votes, favourite count, grade level of users, helpfulness, impatient, irregular or inconsiderate members, length of the resume (in characters), max n. of comments per answer, max n. of comments per question, membership duration, membership duration in years, min n. of comments per answer, min n. of comments per question, moderator review vote count, moderator review votes, modifications, n. of comments posted to answers and questions, n. of days since last access, n. of days since register, n. of edits made on answers, n. of interactions with other forum users, n. of suggested edits, n. of suggested edits approved, n. of suggested edits rejected, n. of users who commented the answer, n. of users who edit the answer, n. of users who suggested edits to an ans. or qst., net answer votes, net question votes, no. of modifications, normalised activity entropy, number of (not deleted) questions asked by the user, number of accepted answers on different domains, number of accepted answers on same domain, number of answers, number of answers given, number of answers given by the user, number of asker’s accepted answers, number of asker’s answers, number of asker’s questions, number of comments, number of comments posted to answers, number of comments posted to questions, number of distinct interactions between the asker and answerer, number of flagged answers, number of flags given by the user, number of friends in community, number of friends in community (friends_count), number of negative votes received, number of neighbors in ego network (ego_adj), number of neighbors in ego-network, number of outgoing edges in ego network (ego_out), number of outgoing edges in ego-network, number of positive votes on different domain answers, number of positive votes on same domain answers, number of positive votes received, number of posted answers, number of posted questions, number of previous answers of answerer, number of previous questions of questioner, number of previous questions of questioner with accepted answer, number of questions, number of questions asked, number of spam reports that user received, number of thanks that user received, number of topics in which user post answers, number of topics in which user post comments, number of topics in which user post questions, number of warnings that user received, offensive votes, post rate, postprioredit, postpriorrollback, postpriorrollbackproportion, presence of a picture in the user profile, presence of a resume in the user profile, presence of a title in the user profile, q answern, qmec, qncomments, qownerage, qownernq, qownerreputation, ranking of users, received response ratio, reopen vote count, reopen votes, response time, review count, reviews, size of ego network of friendship (ego), size of ego-network of friendship, spam vote count, spam votes, standard deviation of edits per user, status, t number, text/code modification, thread, time between the question being posted and the answer being given, time since the account creation, timetobounty, topic response ratio, topic-weighted answer votes, topic-weighted questions answered, topics answered, topics asked, undeletion vote count, undeletion votes, user relationships, user-gain-badge, user-post-question, user-supply-answer, user-user topic similarity, userdayeditcount, userprioredit, userpriorrollback, userpriorrollbackproportion, userregistrationdays, view count"
Reputation and Social Authority,33,26,"S2, S3, S4, S5, S6, S7, S8, S14, S15, S17, S19, S23, S24, S26, S35, S36, S38, S47, S58, S60, S61, S64, S72, S73, S85, S86, S92, S94, S101, S103, S107, S116, S117","# previous answers with 0 scores, # previous answers with negative scores, # previous answers with positive scores, # previous questions with 0 scores, # previous questions with negative scores, # previous questions with positive scores, a_best_answers, a_level, a_questions_asked, a_questions_resolved, a_stars), a_total_answers, accepted answer count, age of account, ak mean/median/sum - qn upvote, ak mean/sum/median an upvote, an number answer, an number question, an total/median/max - a upvote, an total/median/max - q upvote, answer badge count, answer badges count, answerer authority, answerer's expertise, answerer’s points, answerer’s reputation at answer creation time, answerer’s user history (answers answered, answers entropy, answers ratio, answers to age of account ratio, approved edit suggestion, asker authority, asker score, asker’s points, asker’s user history (questions asked, average number of accepted answers, average number of down votes per posted answer, average number of up votes per posted answer, avg n. of answers posted in the categories of t, avg n. of questions posted in the categories of t, avg rank position in racat, avg rank position in rqcat, avg rank position in rracat, avg rank position in rrqcat, avg rating received in the categories of t, badge score, badges-tags coverage, best answers answered), best answers ratio, by another answerer, by answerer, by asker, by commenter, by insider, by outsider, commenter reputation, counts of user points (u_point), down vote count, downvotes, earned analytical badge, earned autobiographer badge, earned commentator badge, earned curious badge, earned custodian badge, earned editor badge, earned enthusiast badge, earned famous question badge, earned good answer badge, earned informed badge, earned necromancer badge, earned nice answer badge, earned notable question badge, earned popular question badge, earned scholar badge, earned student badge, earned supporter badge, earned teacher badge, earned tumbleweed badge, earned yearling badge, hasbadgearchaeologist, hasbadgecopyeditor, hasbadgestrunkwhite, hits authority of the user in the arn, indegree of the user in the arn, information from the answerer’s profile (a_points, information from the asker’s profile (q_points, max n. of answers posted in the categories of t, max n. of questions posted in the categories of t, max rank position in racat, max rank position in rqcat, max rank position in rracat, max rank position in rrqcat, max rating received in the categories of t, min n. of answers posted in the categories of t, min n. of questions posted in the categories of t, min rank position in racat, min rank position in rqcat, min rank position in rracat, min rank position in rrqcat, min rating received in the categories of t, n. of categories user is a top-3 answerer, n. of categories user is a top-3 asker, n. of merit badges, n. of posted answers, n. of posted questions, n. of posted questions already solved, negative votes received), normalised topic entropy, number of answers, number of best answers, number of comments for the question, number of down-votes that user received (down_votes), number of downvotes to posted answers got from other users, number of posted answers selected as the best answer, number of previous answers, number of previous badges, number of previous questions, number of questions, number of up-votes that user received (up_votes), number of upvotes to posted answers got from other users, offensive vote count, pagerank of the user in the arn, points, post score, previous answers with +ve score, previous answers with -ve score, previous answers with 0 score, previous posts with negative score, previous questions with +ve score, previous questions with -ve score, previous questions with 0 score, q total/max answer score, q upvote, q_best_answers, q_level, q_questions_asked, q_questions_resolved, q_stars), q_total_answers, question answered, question asked, question badge count, question badges count, questioner’s reputation at question creation time, questions and answers entropy, questions entropy, questions ratio, questions to age of account ratio, rank difference between answerer & asker (diff_rep_users), rank position in ranswers, rank position in rquestions, rank position in rrans, rank position in rrask, rated questions), reputation, reputation of users (answerer_rep), reputation score, signature, sum of asker’s answers’ scores, sum of asker’s questions’ scores, t max/min/total/mean - an median upvote, t max/min/total/mean - n answer, t max/min/total/mean - n question, t max/min/total/mean - qn median upvote, the reputation of answerer, the reputation of questioner, topic reputation different domain, topic reputation same domain, topical reputation, tot. rating got by answering questions in cats. of t, tot. rating got by asking questions in cats. of t, total badges, total rating received by answering questions, total rating received by asking questions, u-t3a / n. of categories user asked, u-t3q / n. of categories user answered, up vote count, upvotes, user, user reputation, users’ endorsement, users’ endorsements (positive votes received"
Post Popularity and Metadata,28,22,"S1, S2, S3, S4, S5, S6, S7, S8, S14, S15, S17, S24, S34, S35, S36, S38, S43, S45, S55, S58, S64, S85, S92, S103, S107, S108, S110, S121","# tags, #ans posted before this answer, #ans posted to the question, a revision number, a url number, accepted answer score, answer age, answer no longer relevant or needed, average answer score, average favorite votes, average number of comments, average question score, average question view counts, avg answers posted per question, code snippet length, comment age, comment score, does not have any answer, down votes, dwell time, fails to attract an expert member, favorite score, high-frequency words, hyperlink count, image count, in an accepted answer, max answers posted per question, min answers posted per question, n. of code snippets, n. of comments posted to the answer, n. of comments posted to the question, negscore, non-stop word overlap, number of answers, number of answers for the question, number of code blocks, number of code snippets, number of comments, number of downvotes, number of high-frequency words, number of links, number of non-stop word overlap, number of question views, number of tags, number of upvotes, number of upvotes per downvote, positive/negative vote ratio for the answers given by the user, posscore, post score, presence of an accepted answer, presence of answers, qcreationdate, qntags, question age, question creation date, reciprocal rank of the answer in the list of answers for the given question, review count, satisfaction, score, score ratio, tag count, tags, tags count, up votes, url count, view count, votes of question, works for me"
Tag Relevance and Specificity,28,22,"S7, S8, S9, S15, S23, S24, S25, S29, S38, S42, S44, S45, S48, S57, S58, S59, S62, S66, S67, S76, S81, S92, S96, S108, S112, S113, S114, S124","#(a-topics), #(a-topics) #(q-topics) / #(a-topics), #(a-topics) * #(q-topics), #(a-topics) / #(answer body), #(c-topics) / (#(a-topics) + #(q-topics) - #(c-topics)), avg tag quality, defunct tags, max expert ratio, max problem rate, max tag quality, min tag quality, number of popular tags, number of previous tags, popular tags, specificity (number of tags), tag popularity score, tag similarity, tags, term tags, three new topic-aware features with user profile information and the relationship of user’s activities to capture the expertise of users in a specific topic"
Presentation and Structural Quality,26,20.5,"S1, S3, S5, S6, S7, S14, S15, S18, S19, S31, S35, S39, S43, S45, S50, S52, S54, S55, S58, S60, S73, S92, S94, S101, S110, S117","abodycharsofcode, abodynwords, answer listing, answer quotes, answitches, average code length, average length of quoted text, average number of code lines per code snippet, average quoted text length, average section length, avgparalen, avgsntclen, avgwordlen, capital letters divided by all characters, capital title, capitalization, clutter, code format, code length standard deviation, count of punctuation marks, counts of paragraphs, description images, description listing, description quotes, emphtexts, format of the answer (well_format), formatting, has list (“<li>” in body), has quote (“<quote>” in body), has wh-word in title, hasformatting, highlighting, image count, indentation, is title an interrogative sentence, italic plus bold tag count, length (# characters), list count, lists, lower-case, lowercase percentage, maximum code length, maximum length of quoted text, maximum quoted text length, maximum section length, minimum code length, minimum length of quoted text, minimum quoted text length, minimum section length, n. of list items in the text, n. of lists, n. of quoted blocks, n. of words capitalized, number of <strong> tags, number of alphabetical characters in body, number of capitalization violations (no capital letter after sentence mark), number of capitalized words, number of characters, number of code lines, number of digit characters in body, number of list items in the text, number of lists in the text, number of lower case characters, number of lower case characters in body, number of paragraphs, number of paragraphs in the text, number of punctuation violations (lack or redundancy), number of question marks, number of quoted blocks in the text, number of quotes, number of sentences, number of special characters, number of special characters in body, number of upper case characters, number of upper case characters in body, number of urls, number of white case characters in body, number of whitespace violations (lack or redundancy), number of whitespaces, number of words, organization, orthographic, paragraph count, paragraphs, presentation, punctuation characters divided by all characters, qnswitches, quoted text length standard deviation, readability, section count (n. of html h1 tags), section length standard deviation, space density, spaces count, spacing, structure, style and legibility, sub-section count (n. of html h2 tags), sub-sub-section count (n. of html h3 tags), tags-with-punctuation, tags-with-spaces, text format, text size, text/code formatting, the format of answer, title starts with a capital character, uppercase, uppercase character ratio, uppercase percentage, uppercase ratio, using advanced math typing: latex, using advanced math typing: latex (contain_tex), well-formedness, whitespace characters divided by all characters, “error”/“not working” in title"
Affect and Sentiment Analysis,23,18.1,"S2, S10, S12, S13, S15, S16, S19, S22, S24, S34, S36, S37, S43, S46, S49, S60, S64, S72, S85, S92, S108, S117, S119","anger, answerer's attitude, anxiety, be polite, biological processes, body, cause, cognitive processes, friends, gratitude, greetings, health, humans, humor, liwc score of social words, negative emotion, negative sentence count, negative sentiment, neutral, neutral sentence count, number of taboo words, polarity (negative, politeness, positive emotion, positive sentence count, positive sentiment, positive), presence of taboo words, sadness, sentiment, sentiment analysis, sentiment polarity, sentiment score, sentiscore, sexual, social process, taste, tentative, text polarity, title polarity"
Response Timing and Interaction,22,17.3,"S4, S6, S8, S17, S19, S24, S27, S31, S34, S35, S47, S55, S58, S60, S64, S70, S72, S73, S92, S94, S101, S121","#ans posted before this answer, afternoon, answering time prediction model features, apidifftime, asking time (day of the week), asking time (hour), average length of comments posted to the answer, before 2 days and after 2 days), day of week, day of week - {weekend, delay in getting accepted answers, difference between the timestamp of when the answer was chosen as best answer by the asker and the timestamp of when the question was posted, difference between the timestamp of when the answerer’s answer was posted and when the question was posted, duration to answer, duration to answer (time_to_answer), evening, hour of day, last access delay, maximum number of comments in one comment session, median response time, night}, number of comments of all submitted answers one hour after question posted, number of comments of question one hour after question creation, number of comments posted by the answerer, number of comments posted to the answer, number of submitted answers one hour after question posted, number of users who commented the answer, postedittime, question posting time (gmt) - {morning, quickness, re-agemerge, re-edtage, re-linkage, re-tagage, relative answer position, sign up date time lag, sum of comment text length of all comments posted to the answer, time, time between the question being posted and the answer being given, time to accepted answer (the time difference between the creation of the accepted answer and its question), time to first good answer models (log minutes, typing speed, weekday}"
