metric name,frequency
qualitative analysis,35
logistic regression,23
random forest,18
machine learning classifiers,17
user study,17
quantitative analysis,12
cross-validation,10
data mining,9
cosine similarity,8
statistical analysis,8
naive bayes,7
natural language processing (nlp),6
clone detection,5
correlation analysis,5
decision tree,5
latent dirichlet allocation (lda),5
sentiment analysis,5
10-fold cross-validation,4
gradient boosting,4
neural network,4
tokenization,4
topic modeling,4
collaborative filtering,3
decision trees,3
sequence-to-sequence model,3
smote oversampling,3
support vector machine,3
word2vec,3
adaboost,2
artificial neural network (ann),2
bert,2
bertoverflow,2
convolutional neural network (cnn),2
copy mechanism,2
deep learning,2
doc2vec,2
exploratory factor analysis (efa),2
extreme gradient boosting (xgboost),2
feature ranking,2
human rating on quality,2
k-nearest neighbors,2
k-nearest neighbors (knn),2
knn,2
listnet,2
logistic regression model,2
lstm,2
mallet,2
manual code review,2
manual labeling,2
multi-label classification,2
multi-task learning,2
multilayer perceptron,2
naïve bayes,2
predictive modeling,2
program slicing,2
qualitative study,2
random forest (rf),2
random forest classifier,2
random forests,2
random sampling,2
roberta,2
support vector machines (svm),2
svm,2
tag ranking,2
temporal analysis,2
text classification,2
text preprocessing,2
text readability analysis,2
tf-idf,2
transformer model,2
user behavior analysis,2
xgboost,2
ablation study,1
adarank,1
adtree,1
albert,1
analysis of non-trivial code blocks,1
api usage mining,1
artificial neural network,1
association features,1
association rule mining,1
attention mechanism,1
attention-based bilstm,1
bag of words,1
bag-of-words,1
bayes multinomial algorithm,1
bayesian inference,1
bayesian network (bayesnet),1
bayesian ridge,1
beam search,1
bert model,1
bert-based multi-label classifier,1
bert-based relevance matching,1
bert-based transformer model,1
bi-lstm,1
bi-modal encoding (text and code),1
bidirectional long short term memory network (bilstm),1
bilstm models,1
bm25 ranking function,1
bm25 scoring function,1
booststack,1
bounty analysis,1
bow,1
c-units inference,1
capsule networks,1
cart,1
cbow embedding,1
ccbert,1
cdr4tag (code-mixed deep representation learning),1
character-level modeling,1
checkstyle for readability,1
classification frameworks using stochastic gradient boosted trees,1
clustering,1
clustering hypothesis,1
clustering-based discretization,1
cnn,1
cnn models,1
cnn-based approach,1
co-prediction algorithms (cops),1
code classification,1
code completer,1
code normalization,1
code readability metrics,1
code revision analysis,1
code violation analysis,1
code vulnerability detection,1
code-mixed deep representation,1
codebert,1
codebert model,1
codebert-small,1
codellama,1
codet5,1
codet5 backbone,1
codet5-small,1
collaborative editing analysis,1
collaborative filtering (cf),1
combined model,1
community feedback analysis,1
complement naive bayes,1
concept mutation,1
consensus verification,1
content analysis,1
contextual profiling,1
convolutional neural network,1
convolutional neural networks,1
convolutional neural networks (cnn),1
coordinate ascent,1
correlation analysis (linear regression),1
correlation capture,1
cotext,1
coverage mechanism,1
cross-domain comparison,1
customized algorithm (composer),1
cwe mapping,1
cwe tagging,1
data denoising,1
data filtering,1
"data mining (e.g., boruta algorithm)",1
data mining and graph-based models,1
data preprocessing,1
data sampling,1
"data sampling (smote, adasyn)",1
decision tree (j48),1
decision trees (cart),1
deep fusion of metadata and text (dfmt),1
dependencies resolver,1
dependency resolution,1
discriminative model training,1
distilbert,1
distilroberta,1
doc2vec representation,1
downsampling for balancing dataset,1
dq-cnn,1
dq-lstm,1
dq-rnn,1
dual-interactive fusion,1
duplicate pair detection,1
dynamic neural topic,1
egonet features (graph analysis),1
empirical study of edits,1
encoder-decoder architecture,1
ensemble learning,1
expert evaluation,1
expert judgment,1
expertiserank,1
exploratory analysis,1
exqd,1
extreme gradient boosting,1
feature comparison (before and after revision),1
feature engineering,1
"feature engineering (textual, formatting, orthographic)",1
feature importance ranking,1
feedback-directed compilation,1
feedback-driven code improvement,1
findbugs for performance,1
findbugs for security,1
