Evaluation Metric Name,Group Name,Study Count,Studies
accuracy,accuracy,36,"S2, S7, S9, S12, S15, S16, S17, S21, S24, S27, S31, S37, S41, S45, S47, S49, S54, S56, S68, S73, S77, S79, S82, S85, S86, S90, S91, S98, S108, S109, S110, S115, S116, S117, S121, S123"
agreement level,agreement level,1,S46
anova,anova,1,S10
answer score,answer score,2,"S13, S18"
area under the roc curve (auc),auc,5,"S1, S4, S7, S15, S19"
auc,auc,10,"S40, S47, S49, S53, S60, S70, S85, S92, S103, S107"
area under the receiver operating characteristic curve (auc-roc),auc-roc,1,S61
auc-roc,auc-roc,2,"S101, S116"
receiver operating characteristic (roc)/area under the roc curve (auc),auc-roc,1,S16
roc (auc),auc-roc,1,S27
roc_auc,auc-roc,1,S45
bertscore,bertscore,1,S87
beta coefficients,beta coefficients,1,S10
beta value – b,beta value – b,1,S5
binning (time categorization),binning (time categorization),1,S8
bilingual evaluation understudy (bleu),bleu,1,S118
bleu,bleu,2,"S87, S102"
bleu- 3,bleu,1,S75
bleu score,bleu,1,S100
bleu-1,bleu,1,S75
bleu-2,bleu,1,S75
bleu-4,bleu,1,S75
bleus-4,bleu,2,"S104, S111"
chi-squared statistic,chi-squared statistic,1,S12
chi-squared test,chi-squared test,4,"S2, S50, S106, S121"
cliff's delta,cliff's delta,2,"S106, S126"
cliff's delta test,cliff's delta,1,S121
coefficient estimate,coefficient estimate,2,"S19, S60"
cohen's classification (rho),cohen's classification (rho),1,S83
cohen's kappa,cohen's kappa,3,"S5, S12, S24"
cohen's kappa (agreement),cohen's kappa,2,"S121, S122"
cohen's kappa (agreement),cohen's kappa,1,S1
kohen's kappa,cohen's kappa,1,S11
compilability,compilability,1,S30
completeness,completeness,2,"S32, S79"
comprehensibility,comprehensibility,1,S79
conciseness,conciseness,2,"S32, S79"
consensus-based image description evaluation (cider),consensus-based image description evaluation (cider),1,S118
constant,constant,1,S55
correctness,correctness,2,"S32, S79"
correlation,correlation,1,S72
cosine similarity,cosine similarity,2,"S42, S85"
cox and snell incremental r^2,cox and snell incremental r^2,1,S24
cox and snell r square,cox and snell r square,1,S5
cox and snell r^2,cox and snell r^2,1,S24
cramer's v,cramer's v,1,S50
cross-entropy loss,cross-entropy loss,1,S114
discounted cumulative gain -dcg@k (k=2-5),discounted cumulative gain -dcg@k (k=2-5),1,S88
diversity score,diversity score,2,"S51, S63"
exact match (em),exact match (em),2,"S118, S125"
f1 measure,f1 score,1,S109
f1 score,f1 score,3,"S7, S37, S110"
f1- score,f1 score,1,S61
f1-score,f1 score,32,"S1, S4, S15, S19, S31, S36, S38, S40, S41, S52, S53, S56, S73, S77, S79, S80, S82, S86, S90, S91, S98, S99, S101, S103, S108, S115, S116, S117, S120, S121, S123, S125"
f1-score@k,f1 score,9,"S42, S62, S76, S81, S96, S112, S113, S114, S124"
"f1-score@k (k=5,10)",f1 score,1,S44
f1-score,f1 score,1,S45
f-score,f1 score,1,S94
fisher's z-transformation,fisher's z-transformation,1,S87
fitness function,fitness function,1,S14
