Methodology,EvaluationMetrics(Count)
M1,"recall (43); precision (41); f1 score (37); accuracy (29); auc/roc/auc-roc (25); cohen's kappa (5); odds ratio (5); infogain (3); ndcg (3); pearson correlation (3); bleu (2); chi-squared test (2); coefficient estimate (2); cosine similarity (2); hosmer-lemeshow test (2); log likelihood (2); mann-whitney u-test results (2); p-value (2); rmse (2); rouge (2); beta value  b (1); binning (time categorization) (1); chi-squared statistic (1); cliff's delta (1); completeness (1); comprehensibility (1); conciseness (1); constant (1); correctness (1); cox and snell incremental r^2 (1); cox and snell r square (1); cox and snell r^2 (1); cross-entropy loss (1); discounted cumulative gain -dcg@k (k=2-5) (1); fitness function (1); gelkerke r^2 (1); human evaluation (1); krippendorff's alpha (1); likert scale (1); logistic regression(beta value - ? (1); mann-whitney-wilcoxon test (1); matching score (1); matching_top10 (1); matthews correlation coefficient (1); mean (1); mean reciprocal rank (1); meteor (1); micro-receiver operating characteristic (roc) curve (1); multi-class log loss (mll) (1); na (1); nagelkerke incremental r^2 (1); nagelkerke r square (1); nasa tlx for workload (1); neural network coefficient (1); normalized cumulative gain discount (ndcc@k, k=1-10) (1); omnibus test ?2 (1); omnibus tests of model coefficients (1); pseudo-r-squared (1); psp (propensity scored precision) (1); r-square (1); random forest coefficient (1); scott-knott (feature ranking) (1); significance - ? (1); significance  p (1); standard deviation (1); standard error - s.e (1); t-test (1); user study (1); wald statistics - wald (1)"
M2,"recall (41); precision (34); f1 score (29); accuracy (19); auc/roc/auc-roc (11); mean reciprocal rank (4); cohen's kappa (3); bleu (2); coefficient estimate (2); cosine similarity (2); gleu (2); ndcg (2); odds ratio (2); r-square (2); rouge (2); agreement level (1); answer score (1); chi-squared statistic (1); chi-squared test (1); cliff's delta (1); consensus-based image description evaluation (cider) (1); cross-entropy loss (1); diversity score (1); exact match (em) (1); f-statistic (1); fleiss's kappa (agreement) (1); human evaluation (1); likert scale (1); mae (1); mann-whitney u-test results (1); mann-whitney-wilcoxon test (1); manual evaluation (1); manual validation (1); matthews correlation coefficient (1); mean average precision (map) (1); meteor (1); mse (1); neural network coefficient (1); p-value (1); psp (propensity scored precision) (1); qualitative analysis (1); random forest coefficient (1); rank feature (z-score) (1); relative differences (rd) (1); relevance score (1); rmse (1); scott-knott (feature ranking) (1); spearman's rank correlation (1); statistical analysis (1); t-test (1); top@k (k=1,3,5,10,15) (1); usefulness score (1)"
M3,"recall (22); precision (21); accuracy (17); f1 score (17); auc/roc/auc-roc (7); cohen's kappa (7); bleu (5); rouge (5); chi-squared test (4); likert scale (4); mean (4); odds ratio (4); standard deviation (4); t-test (3); cliff's delta (2); completeness (2); conciseness (2); correctness (2); diversity score (2); exact match (em) (2); gleu (2); hosmer-lemeshow test (2); log likelihood (2); mann-whitney-wilcoxon test (2); manual validation (2); mean reciprocal rank (2); p-value (2); qualitative analysis (2); r-square (2); relevance score (2); usefulness score (2); agreement level (1); anova (1); bertscore (1); beta coefficients (1); beta value  b (1); binning (time categorization) (1); chi-squared statistic (1); coefficient estimate (1); cohen's classification (rho) (1); comprehensibility (1); consensus-based image description evaluation (cider) (1); constant (1); cosine similarity (1); cox and snell incremental r^2 (1); cox and snell r square (1); cox and snell r^2 (1); cramer's v (1); discounted cumulative gain -dcg@k (k=2-5) (1); fisher's z-transformation (1); fleiss's kappa (agreement) (1); gelkerke r^2 (1); human evaluation (1); krippendorff's alpha (1); kurtosis (1); logistic regression(beta value - ? (1); manual evaluation (1); matching score (1); meteor (1); na (1); nagelkerke incremental r^2 (1); nagelkerke r square (1); nasa tlx for workload (1); ndcg (1); normalized cumulative gain discount (ndcc@k, k=1-10) (1); omnibus test ?2 (1); omnibus tests of model coefficients (1); pearson correlation (1); pseudo-r-squared (1); relative differences (rd) (1); significance - ? (1); significance  p (1); skewness (1); standard error - s.e (1); standard error mean (1); statistical analysis (1); statistical analysis (mean, standard deviation) (1); top@k (k=1,3,5,10,15) (1); understandability (1); user study (1); wald statistics - wald (1)"
M4,"precision (22); recall (21); f1 score (16); auc/roc/auc-roc (14); accuracy (12); infogain (3); mean (3); r-square (3); standard deviation (3); answer score (2); chi-squared test (2); cliff's delta (2); coefficient estimate (2); krippendorff's alpha (2); mann-whitney-wilcoxon test (2); odds ratio (2); pearson correlation (2); anova (1); bertscore (1); beta coefficients (1); binning (time categorization) (1); bleu (1); cohen's classification (rho) (1); cohen's kappa (1); compilability (1); correlation (1); cosine similarity (1); cramer's v (1); f-statistic (1); fisher's z-transformation (1); kaplan-meier estimator (1); kurtosis (1); likert scale (1); mae (1); matching_top10 (1); matthews correlation coefficient (1); meteor (1); micro-receiver operating characteristic (roc) curve (1); mse (1); multi-class log loss (mll) (1); ndcg (1); neural network coefficient (1); p-value (1); random forest coefficient (1); rank feature (z-score) (1); rmse (1); rouge (1); skewness (1); spearman's rank correlation (1); standard error mean (1); statistical analysis (1); statistical analysis (mean, standard deviation) (1); t-test (1)"
M5,recall (23); precision (22); f1 score (19); accuracy (7); bleu (6); rouge (6); mean reciprocal rank (3); auc/roc/auc-roc (2); gleu (2); human evaluation (2); consensus-based image description evaluation (cider) (1); cross-entropy loss (1); discounted cumulative gain -dcg@k (k=2-5) (1); exact match (em) (1); fleiss's kappa (agreement) (1); kaplan-meier estimator (1); macro-f1 (1); macro-precision (1); macro-recall (1); mann-whitney u-test results (1); manual evaluation (1); matching score (1); mean average precision (map) (1); meteor (1); micro-receiver operating characteristic (roc) curve (1); ndcg (1); psp (propensity scored precision) (1); relative differences (rd) (1); t-test (1); user study (1)
M6,"recall (16); f1 score (10); precision (10); auc/roc/auc-roc (6); accuracy (5); infogain (2); mean reciprocal rank (2); ndcg (2); answer score (1); chi-squared statistic (1); cohen's kappa (1); cosine similarity (1); cross-entropy loss (1); matching_top10 (1); normalized cumulative gain discount (ndcc@k, k=1-10) (1); rmse (1)"
M7,"recall (8); f1 score (6); auc/roc/auc-roc (5); precision (5); accuracy (3); cohen's kappa (2); diversity score (2); likert scale (2); manual validation (2); mean (2); ndcg (2); relevance score (2); standard deviation (2); usefulness score (2); anova (1); beta coefficients (1); binning (time categorization) (1); infogain (1); krippendorff's alpha (1); kurtosis (1); mean reciprocal rank (1); qualitative analysis (1); r-square (1); rank feature (z-score) (1); rmse (1); skewness (1); standard error mean (1); t-test (1); top@k (k=1,3,5,10,15) (1)"
M8,accuracy (3); precision (3); completeness (2); conciseness (2); correctness (2); f1 score (2); recall (2); auc/roc/auc-roc (1); cohen's classification (rho) (1); compilability (1); comprehensibility (1); diversity score (1); likert scale (1); manual validation (1); pearson correlation (1); qualitative analysis (1); relevance score (1); understandability (1); usefulness score (1)
M9,precision (4); recall (4); f1 score (3); bleu (2); rouge (2); accuracy (1); auc/roc/auc-roc (1); chi-squared test (1); cliff's delta (1); compilability (1); constant (1); discounted cumulative gain -dcg@k (k=2-5) (1); human evaluation (1); log likelihood (1); mann-whitney-wilcoxon test (1); matching score (1); meteor (1); r-square (1); statistical analysis (1); user study (1)
M10,f1 score (2); precision (2); recall (2); cohen's kappa (1); exact match (em) (1)
