Author Name,Gender,Count
Chanchal K. Roy,Male,10
David Lo,Male,10
Chirag Shah,Male,8
Saikat Mondal,Male,8
Xin Xia,Male,7
Erik Choi,Male,6
Mohammad Masudur Rahman,Male,5
Pradeep Kumar Roy,Male,5
Shaowei Wang,Male,5
John Grundy,Male,4
Vanessa Kitzie,Female,3
Ahmed E Hassan,Male,3
Alberto Bacchelli,Male,3
Alton YK Chua,Male,3
Ashish Sureka,Male,3
Bowen Xu,Male,3
Christoph Treude,Male,3
Chunyang Chen,Male,3
Denzil Correa,Male,3
Gias Uddin,Male,3
Haoxiang Zhang,Male,3
Jacky Keung,Male,3
Jin Liu,Male,3
Jyoti Prakash Singh,Male,3
Long T Le,Male,3
Sherlock A Licorish,Male,3
Tse-Hsun Chen,Male,3
Zhenchang Xing,Male,3
Zhipeng Gao,Male,3
Banani Roy,Female,2
Jing Jiang,Female,2
Li Zhang,Female,2
Ling Xu,Female,2
Liting Wang,Female,2
Nicole Novielli,Female,2
Wei Emma Zhang,Female,2
Abbas Heydarnoori,Male,2
Ashkan Sami,Male,2
Can Li,Male,2
Chengran Yang,Male,2
Daniel H Dalip,Male,2
Dion Hoe-Lian Goh,Male,2
DongGyun Han,Male,2
Ermyas Abebe,Male,2
Fabio Calefato,Male,2
Feng Xu,Male,2
Fengji Zhang,Male,2
Filippo Lanubile,Male,2
Hanghang Tong,Male,2
Haoye Wang,Male,2
Hengyi Fu,Male,2
Jey Han Lau,Male,2
Jian Lu,Male,2
Jianling Sun,Male,2
Junda He,Male,2
Ke Liu,Male,2
Kevin A Schneider,Male,2
Kevin Schneider,Male,2
Mohammadreza Tavakoli,Male,2
Mohan John Blooma,Male,2
Muhammad Asaduzzaman,Male,2
Pingyi Zhou,Male,2
Quan Z Sheng,Male,2
Sanghee Oh,Male,2
Snehasish Banerjee,Male,2
Tianyi Zhang,Male,2
Xiang Chen,Male,2
Xiao Liu,Male,2
Xiao Yu,Male,2
Yuan Yao,Male,2
Zhou Yang,Male,2
Zijiang Yang,Male,2
