Study#,SL,Total Authors,Author Gender Composition
S1,1,5,Mix
S2,2,2,Men Only
S3,3,3,Men Only
S4,4,3,Mix
S5,5,3,Men Only
S6,6,3,Men Only
S7,7,2,Men Only
S8,8,4,Men Only
S9,9,3,Men Only
S10,10,3,Mix
S11,11,3,Mix
S12,12,4,Mix
S13,13,2,Mix
S14,14,4,Men Only
S15,15,2,Men Only
S16,16,3,Mix
S17,17,2,Men Only
S18,18,3,Men Only
S19,19,4,Mix
S20,20,3,Men Only
S21,21,3,Men Only
S22,22,8,Mix
S23,23,2,Mix
S24,24,2,Men Only
S25,25,3,Men Only
S26,26,6,Men Only
S27,27,1,Men Only
S28,28,4,Men Only
S29,29,2,Mix
S30,30,3,Men Only
S31,31,3,Men Only
S32,32,3,Men Only
S33,33,4,Men Only
S34,34,3,Female Only
S35,35,3,Men Only
S36,36,3,Men Only
S37,37,3,Men Only
S38,38,5,Men Only
S39,39,3,Men Only
S40,40,4,Mix
S41,41,3,Mix
S42,42,3,Men Only
S43,43,5,Men Only
S44,44,4,Men Only
S45,45,2,Men Only
S46,46,5,Mix
S47,47,1,Men Only
S48,48,2,Men Only
S49,49,3,Men Only
S50,50,2,Men Only
S51,51,5,Mix
S52,52,5,Men Only
S53,53,5,Mix
S54,54,2,Men Only
S55,55,2,Men Only
S56,56,8,Mix
S57,57,4,Men Only
S58,58,3,Men Only
S59,59,6,Men Only
S60,60,3,Mix
S61,61,6,Men Only
S62,62,5,Men Only
S63,63,7,Men Only
S64,64,3,Men Only
S65,65,5,Mix
S66,66,4,Men Only
S67,67,6,Mix
S68,68,4,Men Only
S69,69,3,Female Only
S70,70,7,Mix
S71,71,5,Mix
S72,72,2,Men Only
S73,73,3,Men Only
S74,74,2,Men Only
S75,75,5,Men Only
S76,76,6,Mix
S77,77,4,Men Only
S78,78,3,Female Only
S79,79,3,Mix
S80,80,2,Men Only
S81,81,4,Mix
S82,82,1,Men Only
S83,83,4,Mix
S84,84,5,Men Only
S85,85,4,Men Only
S86,86,5,Men Only
S87,87,6,Mix
S88,88,4,Men Only
S89,89,2,Mix
S90,90,4,Mix
S91,91,3,Men Only
S92,92,3,Men Only
S93,93,7,Mix
S94,94,3,Mix
S95,95,7,Men Only
S96,96,6,Men Only
S97,97,5,Men Only
S98,98,6,Men Only
S99,99,5,Mix
S100,100,5,Mix
S101,101,4,Mix
S102,102,4,Men Only
S103,103,3,Men Only
S104,104,8,Men Only
S105,105,3,Men Only
S106,106,4,Men Only
S107,107,3,Men Only
S108,108,2,Men Only
S109,109,5,Men Only
S110,110,5,Mix
S111,111,6,Men Only
S112,112,6,Mix
S113,113,3,Men Only
S114,114,7,Mix
S115,115,3,Female Only
S116,116,1,Men Only
S117,117,3,Men Only
S118,118,5,Men Only
S119,119,4,Mix
S120,120,7,Mix
S121,121,3,Men Only
S122,122,3,Mix
S123,123,2,Mix
S124,124,8,Men Only
S125,125,7,Mix
S126,126,2,Men Only
S127,127,8,Mix
