Year,Published studies,Total
2008,S1 (WSDM),1
2010,"S2 (SIGIR), S3 (ITNG)",2
2012,"S4 (ESWC), S5 (OIR)",2
2013,"S6 (SIGIR), S7 (COSN), S8 (MSR), S9 (MSR), S10 (ASIST), S11 (ASIST)",6
2014,"S12 (ISCI), S13 (HICSS), S14 (QSIC), S15 (WWW), S16 (HICSS)",5
2015,"S17 (MSR), S18 (ASIST), S19 (MSR), S20 (MSR), S21 (MSR), S22 (ASIST), S23 (RANLP), S24 (JIS), S25 (JCST), S26 (ISCI), S27 (ASIS&T), S28 (JCST), S29 (ICPC)",13
2016,"S30 (ISSTA), S31 (JCDL), S32 (SAC), S33 (MSR), S34 (CSI-SE), S35 (TOIS), S36 (SEmotion), S37 (SEKE), S38 (COMPSAC)",9
2017,"S39 (PACMHCI), S40 (WWW), S41 (CHIIR), S42 (MISNC), S43 (APSEC), S44 (SANER), S45 (ICBK), S46 (ICEIS), S47 (IPRM), S48 (NEUROC), S49 (ICWSM), S50 (ICSME)",12
2018,"S51 (ICSE), S52 (PACMHCI), S53 (TOIT), S54 (NL4SE), S55 (PLOS ONE), S56 (ACSAC), S57 (EMSE), S58 (CollaborateCom), S59 (NEUROC), S60 (IST), S61 (GJFSM), S62 (AUSE)",12
2019,"S63 (ESEC/FSE), S64 (EASE), S65 (ICSE), S66 (TOIT), S67 (ICMAI), S68 (ICSOFT), S69 (APSEC), S70 (ICDCS), S71 (TSE), S72 (IPRM), S73 (IJDL)",11
2020,"S74 (ICSE-NIER), S75 (TOSEM), S76 (TOIS), S77 (ICSE-NIER), S78 (IEEE Access), S79 (SEAA), S80 (NCAA), S81 (JSS), S82 (NPLE), S83 (SCPR)",10
2021,"S84 (TSE), S85 (TOSEM), S86 (ISEC), S87 (CHIIR), S88 (TOSEM), S89 (QRS-C), S90 (APSEC), S91 (MSR), S92 (ICPC), S93 (WSDM), S94 (IPRM)",11
2022,"S95 (ESEC/FSE), S96 (ICPC), S97 (TSE), S98 (TSE), S99 (IJCNN), S100 (PAAP), S101 (CSCWD), S102 (SANER), S103 (JIS), S104 (IST), S105 (EMSE), S106 (EMSE), S107 (SSRN), S108 (IJCACI)",14
2023,"S109 (TALLIP), S110 (JISYS), S111 (JSS), S112 (INFU), S113 (ISCI), S114 (NEUROC), S115 (ACCESS), S116 (IJDL), S117 (EMSE), S118 (TSE)",10
2024,"S119 (CHI), S120 (ISSTA), S121 (SANER), S122 (SCAM), S123 (JSS), S124 (EMSE)",6
2025,"S125 (ICSE), S126 (ICSME), S127 (AUSE)",3
